region_name,sport_name,games_year,season,total_medals
Austria,Swimming,1906,Summer,2
Austria,"Figure Skating",1948,Winter,2
Austria,Canoeing,1956,Summer,2
Austria,Weightlifting,1906,Summer,2
Austria,Tennis,1912,Summer,2
Austria,Judo,1984,Summer,2
Austria,"Speed Skating",1994,Winter,2
Austria,Swimming,2004,Summer,2
Austria,Shooting,1996,Summer,2
Austria,Luge,1976,Winter,2
Austria,Luge,1994,Winter,2
Austria,Canoeing,1968,Summer,2
Austria,Athletics,1948,Summer,2
Austria,Weightlifting,1928,Summer,2
Austria,"Ski Jumping",1968,Winter,2
Austria,"Cross Country Skiing",2002,Winter,2
Austria,"Cross Country Skiing",2006,Winter,1
Austria,Triathlon,2004,Summer,1
Austria,Weightlifting,1936,Summer,1
Austria,Swimming,2008,Summer,1
Austria,Fencing,1948,Summer,1
Austria,Shooting,1960,Summer,1
Austria,Fencing,1932,Summer,1
Austria,Rowing,1936,Summer,1
Austria,"Art Competitions",1928,Summer,1
Austria,Shooting,1984,Summer,1
Austria,Judo,2004,Summer,1
Austria,"Ski Jumping",1960,Winter,1
Austria,Shooting,1976,Summer,1
Austria,Athletics,1972,Summer,1
Austria,Athletics,1992,Summer,1
Austria,Shooting,1972,Summer,1
Austria,Snowboarding,2006,Winter,1
Austria,Fencing,1936,Summer,1
Austria,"Figure Skating",1964,Winter,1
Austria,Athletics,2000,Summer,1
Austria,Athletics,1996,Summer,1
Austria,Equestrianism,1980,Summer,1
Austria,"Freestyle Skiing",2010,Winter,1
Austria,Snowboarding,1998,Winter,1
Austria,Handball,1992,Summer,1
Austria,Judo,1988,Summer,1
Austria,Biathlon,2002,Winter,1
Austria,Sailing,1968,Summer,1
Austria,Judo,2008,Summer,1
Austria,Canoeing,1972,Summer,1
Austria,Shooting,2004,Summer,1
Austria,"Speed Skating",1936,Winter,1
Austria,Canoeing,1948,Summer,1
Austria,Skeleton,2002,Winter,1
Austria,Swimming,1908,Summer,1
Austria,"Figure Skating",1952,Winter,1
Austria,"Speed Skating",1992,Winter,1
Austria,"Figure Skating",1968,Winter,1
Austria,Equestrianism,1936,Summer,1
Austria,Weightlifting,2008,Summer,1
Austria,Swimming,1904,Summer,1
Austria,"Alpine Skiing",1984,Winter,1
Austria,"Figure Skating",1972,Winter,1
Austria,Shooting,1980,Summer,1
Austria,Luge,1998,Winter,1
Austria,Luge,2002,Winter,1
Austria,"Figure Skating",1932,Winter,1
Austria,Diving,1906,Summer,1
Austria,Canoeing,2008,Summer,1
Azerbaijan,Wrestling,2016,Summer,9
Azerbaijan,Wrestling,2012,Summer,7
Azerbaijan,Wrestling,2008,Summer,4
Azerbaijan,Boxing,2004,Summer,3
Azerbaijan,Taekwondo,2016,Summer,3
Azerbaijan,Wrestling,2000,Summer,2
Azerbaijan,Shooting,2004,Summer,2
Azerbaijan,Canoeing,2012,Summer,2
Azerbaijan,Judo,2016,Summer,2
Azerbaijan,Boxing,2016,Summer,2
Azerbaijan,Boxing,2012,Summer,2
Azerbaijan,Judo,2008,Summer,2
Azerbaijan,Canoeing,2016,Summer,2
Azerbaijan,Shooting,2000,Summer,1
Azerbaijan,Boxing,2008,Summer,1
Azerbaijan,Boxing,2000,Summer,1
Azerbaijan,Judo,1992,Summer,1
Azerbaijan,Wrestling,1992,Summer,1
Azerbaijan,Wrestling,2004,Summer,1
Azerbaijan,Wrestling,1996,Summer,1
Azerbaijan,Canoeing,2004,Summer,1
